City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
628,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
629,Mogadishu,SO,79.5,clear sky,2.0371,45.3438,Hotel Juba
630,Baloda Bazar,IN,88.99,overcast clouds,21.6667,82.1667,STARiHOTELS Baloda Bazaar
632,Kieta,PG,84.97,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
636,Tecoanapa,MX,85.19,few clouds,16.5167,-98.75,Hotel Manglares
640,Mana,GF,78.49,moderate rain,5.6592,-53.7767,LE SAMANA
642,Trincomalee,LK,82.18,overcast clouds,8.5711,81.2335,Welcombe Hotel
643,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
644,Mancio Lima,BR,75.27,thunderstorm with light rain,-7.6142,-72.8958,Motel Asas Do Desejo
645,Kirakira,SB,85.66,broken clouds,-10.4544,161.9205,SanBiz Lodge
647,Adrar,MR,87.8,overcast clouds,20.5022,-10.0711,
651,Touros,BR,79.38,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
652,Alenquer,BR,75.85,overcast clouds,-1.9417,-54.7383,Detinha Hotel
653,Metro,ID,76.46,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
654,Camocim,BR,77.72,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
658,Buala,SB,84.88,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
659,Manokwari,ID,83.34,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
664,Barquisimeto,VE,73.24,overcast clouds,10.0739,-69.3228,Hotel Príncipe
666,Conde,BR,76.46,clear sky,-7.2597,-34.9075,Pousada Beija Flor
667,Guanica,PR,83.1,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
669,La Libertad,EC,74.86,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
670,Timberlake,US,78.76,clear sky,37.3207,-79.2575,Timberlake Motel
671,Kourou,GF,76.1,heavy intensity rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
673,Moindou,NC,79.48,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
679,Tucurui,BR,75.65,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
