City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
125,Ambatondrazaka,-17.8333,48.4167,62.6,87,66,5.14,broken clouds,MG,2022-05-16 23:34:20
126,Sistranda,63.7256,8.834,35.56,65,14,19.62,few clouds,NO,2022-05-16 23:29:59
127,Malacacheta,-17.8422,-42.0767,63.37,86,10,3.85,clear sky,BR,2022-05-16 23:34:22
128,Castilho,-20.8722,-51.4875,59.83,65,63,11.41,broken clouds,BR,2022-05-16 23:34:22
129,Port Blair,11.6667,92.75,83.26,77,91,16.93,overcast clouds,IN,2022-05-16 23:34:23
130,Santa Isabel Do Rio Negro,-0.4139,-65.0192,73.51,100,98,2.26,overcast clouds,BR,2022-05-16 23:34:24
131,Mar Del Plata,-38.0023,-57.5575,55.94,83,100,16.11,overcast clouds,AR,2022-05-16 23:30:02
132,Magoula,38.0833,23.5167,71.87,64,20,3.44,few clouds,GR,2022-05-16 23:34:26
133,Ambovombe,-25.1667,46.0833,69.17,71,1,16.06,clear sky,MG,2022-05-16 23:34:26
134,Dikson,73.5069,80.5464,33.46,100,100,3.29,snow,RU,2022-05-16 23:34:27
135,Salinopolis,-0.6136,-47.3561,80.87,85,68,11.32,broken clouds,BR,2022-05-16 23:34:28
136,Lasa,46.6166,10.7002,58.08,93,98,6.42,overcast clouds,IT,2022-05-16 23:33:54
137,Ponta Do Sol,32.6667,-17.1,68.72,80,20,5.41,few clouds,PT,2022-05-16 23:34:29
138,Morondava,-20.2833,44.2833,71.62,62,0,9.55,clear sky,MG,2022-05-16 23:34:30
139,Wembley,-31.9333,115.8,57.4,76,0,9.22,clear sky,AU,2022-05-16 23:34:30
140,Chuy,-33.6971,-53.4616,52.59,86,71,16.49,light rain,UY,2022-05-16 23:34:41
141,Raudeberg,61.9875,5.1352,50.67,74,0,4.54,clear sky,NO,2022-05-16 23:34:42
142,Mount Gambier,-37.8333,140.7667,53.44,71,97,8.95,overcast clouds,AU,2022-05-16 23:34:43
143,La Ronge,55.1001,-105.2842,50.25,34,20,11.5,few clouds,CA,2022-05-16 23:34:43
144,Nome,64.5011,-165.4064,43.16,56,0,10.36,clear sky,US,2022-05-16 23:34:44
145,College,64.8569,-147.8028,51.01,60,100,1.14,overcast clouds,US,2022-05-16 23:34:45
146,Sabang,5.8933,95.3214,83.64,76,100,20.0,overcast clouds,ID,2022-05-16 23:34:46
147,Tupik,54.4253,119.9327,46.26,53,75,3.91,broken clouds,RU,2022-05-16 23:34:47
148,Khandyga,62.6667,135.6,46.44,43,100,6.08,overcast clouds,RU,2022-05-16 23:34:47
149,Puerto Ayora,-0.7393,-90.3518,74.55,94,92,4.0,overcast clouds,EC,2022-05-16 23:30:34
150,Plover,44.4564,-89.544,69.55,24,75,13.8,broken clouds,US,2022-05-16 23:34:49
151,Bjerkvik,68.5597,17.5189,31.82,87,94,3.76,overcast clouds,NO,2022-05-16 23:34:50
152,Caravelas,-17.7125,-39.2481,76.05,87,26,7.36,scattered clouds,BR,2022-05-16 23:34:50
153,Bardiyah,31.7561,25.0865,67.14,60,0,7.47,clear sky,LY,2022-05-16 23:34:51
154,Sakhnovshchyna,49.1517,35.872,43.2,85,51,7.31,broken clouds,UA,2022-05-16 23:34:52
155,Bengkulu,-3.8004,102.2655,76.39,89,100,4.79,overcast clouds,ID,2022-05-16 23:34:53
156,Concepcion,-36.827,-73.0498,51.6,87,100,4.61,overcast clouds,CL,2022-05-16 23:33:24
157,Chokurdakh,70.6333,147.9167,29.25,93,89,5.86,overcast clouds,RU,2022-05-16 23:34:54
158,Eirunepe,-6.6603,-69.8736,73.18,100,100,3.67,very heavy rain,BR,2022-05-16 23:34:54
159,Maldonado,-34.6667,-54.9167,55.22,83,100,20.76,overcast clouds,UY,2022-05-16 23:34:55
